
"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"Inflación"

"Fecha de consulta: 17/10/2023 05:35:23"

"Aviso importante: Algunas de las series que está consultando registra un cambio, por favor consulte los metadatos de las mismas."

"Título","Índice Nacional de Precios al consumidor, Variación mensual","Índice Nacional de Precios al consumidor, Variación acumulada","Índice Nacional de Precios al consumidor, variación anual","Inflación, Subyacente (nueva definición), Mensual","Inflación, Subyacente (nueva definición), Acumulada en el año","Inflación, Subyacente (nueva definición), Anual","Inflación, No subyacente (nueva definición), Mensual","Inflación, No subyacente (nueva definición), Acumulada en el año","Inflación, No subyacente (nueva definición), Anual"
01/03/2010,0.71000000,2.39000000,4.97000000,0.3500,1.5200,4.2600,1.8500,5.2300,7.2700
01/04/2010,-0.32000000,2.07000000,4.27000000,0.1100,1.6300,3.9300,-1.6600,3.4800,5.3800
01/05/2010,-0.63000000,1.42000000,3.92000000,0.2300,1.8700,3.9600,-3.3900,-0.0200,3.7600
01/06/2010,-0.03000000,1.39000000,3.69000000,0.1400,2.0100,3.8500,-0.5900,-0.6100,3.1900
01/07/2010,0.22000000,1.61000000,3.64000000,0.2100,2.2200,3.7400,0.2500,-0.3700,3.2800
01/08/2010,0.28000000,1.89000000,3.68000000,0.1000,2.3200,3.6900,0.8800,0.5100,3.6400
01/09/2010,0.52000000,2.43000000,3.70000000,0.3600,2.6900,3.6500,1.0600,1.5800,3.8600
01/10/2010,0.62000000,3.06000000,4.02000000,0.1900,2.8900,3.5100,2.0200,3.6300,5.7000
01/11/2010,0.80000000,3.89000000,4.32000000,0.2400,3.1300,3.6100,2.6200,6.3500,6.6100
01/12/2010,0.50000000,4.40000000,4.40000000,0.4300,3.5800,3.5800,0.7000,7.0900,7.0900
01/01/2011,0.49000000,0.49000000,3.78000000,0.4600,0.4600,3.2700,0.5700,0.5700,5.3900
01/02/2011,0.38000000,0.86000000,3.57000000,0.4000,0.8600,3.2600,0.2800,0.8500,4.5300
01/03/2011,0.19000000,1.06000000,3.04000000,0.3000,1.1600,3.2100,-0.1600,0.6900,2.4600
01/04/2011,-0.01000000,1.05000000,3.36000000,0.0800,1.2400,3.1800,-0.2800,0.4000,3.9000
01/05/2011,-0.74000000,0.30000000,3.25000000,0.1800,1.4200,3.1200,-3.8000,-3.4200,3.4500
01/06/2011,0.00000000,0.30000000,3.28000000,0.1900,1.6200,3.1800,-0.7000,-4.0900,3.3400
01/07/2011,0.48000000,0.78000000,3.55000000,0.2200,1.8400,3.1900,1.3800,-2.7700,4.5100
01/08/2011,0.16000000,0.94000000,3.42000000,0.1200,1.9700,3.2200,0.2900,-2.4800,3.9000
01/09/2011,0.25000000,1.19000000,3.14000000,0.2700,2.2400,3.1200,0.1700,-2.3200,2.9800
01/10/2011,0.67000000,1.87000000,3.20000000,0.2600,2.5000,3.1900,2.1200,-0.2400,3.0900
01/11/2011,1.08000000,2.97000000,3.48000000,0.3200,2.8300,3.2800,3.6700,3.4100,4.1300
01/12/2011,0.82000000,3.82000000,3.82000000,0.5100,3.3500,3.3500,1.8600,5.3400,5.3400
01/01/2012,0.71000000,0.71000000,4.05000000,0.4500,0.4500,3.3400,1.5500,1.5500,6.3800
01/02/2012,0.20000000,0.91000000,3.87000000,0.4300,0.8800,3.3700,-0.5100,1.0300,5.5300
01/03/2012,0.06000000,0.97000000,3.73000000,0.2400,1.1200,3.3100,-0.5500,0.4800,5.1200
01/04/2012,-0.31000000,0.65000000,3.41000000,0.1500,1.2700,3.3900,-1.8400,-1.3700,3.4900
01/05/2012,-0.32000000,0.34000000,3.85000000,0.2700,1.5400,3.4800,-2.2600,-3.5900,5.1500
01/06/2012,0.46000000,0.80000000,4.34000000,0.2200,1.7600,3.5000,1.3000,-2.3400,7.2600
01/07/2012,0.56000000,1.36000000,4.42000000,0.3100,2.0800,3.5900,1.4100,-0.9600,7.3000
01/08/2012,0.30000000,1.67000000,4.57000000,0.2200,2.3100,3.7000,0.5500,-0.4100,7.5800
01/09/2012,0.44000000,2.12000000,4.77000000,0.1800,2.4900,3.6100,1.3200,0.9000,8.8100
01/10/2012,0.51000000,2.63000000,4.60000000,0.2300,2.7200,3.5800,1.4200,2.3400,8.0700
01/11/2012,0.68000000,3.33000000,4.18000000,0.0500,2.7800,3.3000,2.7300,5.1300,7.0900
01/12/2012,0.23000000,3.57000000,3.57000000,0.1200,2.9000,2.9000,0.5800,5.7400,5.7400
01/01/2013,0.40000000,0.40000000,3.25000000,0.4200,0.4200,2.8800,0.3300,0.3300,4.4700
01/02/2013,0.49000000,0.90000000,3.55000000,0.5100,0.9400,2.9600,0.4400,0.7800,5.4700
01/03/2013,0.73000000,1.64000000,4.25000000,0.3000,1.2400,3.0200,2.1100,2.9000,8.2900
01/04/2013,0.07000000,1.70000000,4.65000000,0.0800,1.3200,2.9500,0.0000,2.9000,10.3200
01/05/2013,-0.33000000,1.37000000,4.63000000,0.2000,1.5200,2.8800,-2.0500,0.8000,10.5600
01/06/2013,-0.06000000,1.30000000,4.09000000,0.1300,1.6500,2.7900,-0.6900,0.1000,8.3900
01/07/2013,-0.03000000,1.27000000,3.47000000,0.0300,1.6900,2.5000,-0.2600,-0.1500,6.6000
01/08/2013,0.28000000,1.56000000,3.46000000,0.0900,1.7800,2.3700,0.9400,0.7800,7.0100
01/09/2013,0.38000000,1.94000000,3.39000000,0.3200,2.1100,2.5200,0.5500,1.3400,6.2000
01/10/2013,0.48000000,2.43000000,3.36000000,0.1900,2.3000,2.4800,1.4100,2.7700,6.1800
01/11/2013,0.93000000,3.38000000,3.62000000,0.1400,2.4400,2.5600,3.5400,6.4000,7.0200
01/12/2013,0.57000000,3.97000000,3.97000000,0.3300,2.7800,2.7800,1.3500,7.8400,7.8400
01/01/2014,0.89000000,0.89000000,4.48000000,0.8500,0.8500,3.2100,1.0200,1.0200,8.5800
01/02/2014,0.25000000,1.15000000,4.23000000,0.2800,1.1400,2.9800,0.1700,1.1900,8.2800
01/03/2014,0.27000000,1.43000000,3.76000000,0.2100,1.3500,2.8900,0.4600,1.6500,6.5400
01/04/2014,-0.19000000,1.24000000,3.50000000,0.2900,1.6500,3.1100,-1.6700,-0.0500,4.7500
01/05/2014,-0.32000000,0.91000000,3.51000000,0.0900,1.7400,3.0000,-1.6400,-1.6900,5.1900
01/06/2014,0.17000000,1.09000000,3.75000000,0.2100,1.9600,3.0900,0.0400,-1.6400,5.9600
01/07/2014,0.28000000,1.37000000,4.07000000,0.1900,2.1500,3.2500,0.5600,-1.0900,6.8300
01/08/2014,0.36000000,1.73000000,4.15000000,0.2100,2.3700,3.3700,0.8300,-0.2700,6.7200
01/09/2014,0.44000000,2.18000000,4.22000000,0.2900,2.6700,3.3400,0.9200,0.6500,7.1100
01/10/2014,0.55000000,2.74000000,4.30000000,0.1700,2.8400,3.3200,1.7900,2.4500,7.5100
01/11/2014,0.81000000,3.57000000,4.17000000,0.1600,3.0100,3.3400,2.8300,5.3500,6.7800
01/12/2014,0.49000000,4.08000000,4.08000000,0.2300,3.2400,3.2400,1.2800,6.7000,6.7000
01/01/2015,-0.09000000,-0.09000000,3.07000000,-0.0300,-0.0300,2.3400,-0.2700,-0.2700,5.3400
01/02/2015,0.19000000,0.10000000,3.00000000,0.3400,0.3100,2.4000,-0.2700,-0.5300,4.8800
01/03/2015,0.41000000,0.51000000,3.14000000,0.2600,0.5700,2.4500,0.8500,0.3100,5.2900
01/04/2015,-0.26000000,0.25000000,3.06000000,0.1600,0.7300,2.3100,-1.5100,-1.2100,5.4600
01/05/2015,-0.50000000,-0.26000000,2.88000000,0.1200,0.8400,2.3300,-2.4000,-3.5800,4.6400
01/06/2015,0.17000000,-0.09000000,2.87000000,0.2100,1.0500,2.3300,0.0400,-3.5500,4.6300
01/07/2015,0.15000000,0.06000000,2.74000000,0.1700,1.2300,2.3100,0.0700,-3.4800,4.1200
01/08/2015,0.21000000,0.27000000,2.59000000,0.2000,1.4300,2.3000,0.2400,-3.2500,3.5100
01/09/2015,0.37000000,0.65000000,2.52000000,0.3700,1.8100,2.3800,0.3900,-2.8700,2.9600
01/10/2015,0.51000000,1.16000000,2.48000000,0.2500,2.0600,2.4700,1.3500,-1.5600,2.5200
01/11/2015,0.55000000,1.72000000,2.21000000,0.0400,2.1000,2.3400,2.1500,0.5600,1.8400
01/12/2015,0.41000000,2.13000000,2.13000000,0.3100,2.4100,2.4100,0.7200,1.2800,1.2800
01/01/2016,0.38000000,0.38000000,2.61000000,0.1900,0.1900,2.6400,0.9600,0.9600,2.5200
01/02/2016,0.44000000,0.82000000,2.87000000,0.3600,0.5500,2.6600,0.6800,1.6400,3.4900
01/03/2016,0.15000000,0.97000000,2.60000000,0.3600,0.9100,2.7600,-0.4900,1.1400,2.1200
01/04/2016,-0.32000000,0.65000000,2.54000000,0.2200,1.1300,2.8300,-1.9600,-0.8300,1.6600
01/05/2016,-0.45000000,0.20000000,2.60000000,0.2100,1.3500,2.9300,-2.5100,-3.3200,1.5500
01/06/2016,0.11000000,0.31000000,2.54000000,0.2500,1.6100,2.9700,-0.3500,-3.6600,1.1600
01/07/2016,0.26000000,0.57000000,2.65000000,0.1700,1.7800,2.9700,0.5500,-3.1300,1.6500
01/08/2016,0.28000000,0.86000000,2.73000000,0.1900,1.9800,2.9600,0.5800,-2.5700,1.9900
01/09/2016,0.61000000,1.47000000,2.97000000,0.4800,2.4600,3.0700,1.0400,-1.5500,2.6500
01/10/2016,0.61000000,2.09000000,3.06000000,0.2800,2.7500,3.1000,1.6500,0.0700,2.9500
01/11/2016,0.78000000,2.89000000,3.31000000,0.2200,2.9800,3.2900,2.5400,2.6100,3.3400
01/12/2016,0.46000000,3.36000000,3.36000000,0.4500,3.4400,3.4400,0.5100,3.1300,3.1300
01/01/2017,1.70000000,1.70000000,4.72000000,0.5800,0.5800,3.8400,5.1400,5.1400,7.4000
01/02/2017,0.58000000,2.29000000,4.86000000,0.7600,1.3500,4.2600,0.0300,5.1800,6.7100
01/03/2017,0.61000000,2.92000000,5.35000000,0.5700,1.9300,4.4800,0.7300,5.9500,8.0200
01/04/2017,0.12000000,3.04000000,5.82000000,0.4500,2.3900,4.7200,-0.8400,5.0500,9.2500
01/05/2017,-0.12000000,2.92000000,6.16000000,0.2800,2.6700,4.7800,-1.3000,3.6900,10.6000
01/06/2017,0.25000000,3.18000000,6.31000000,0.3000,2.9800,4.8300,0.0900,3.7800,11.0900
01/07/2017,0.38000000,3.57000000,6.44000000,0.2700,3.2600,4.9400,0.7200,4.5200,11.2700
01/08/2017,0.49000000,4.08000000,6.66000000,0.2500,3.5200,5.0000,1.2200,5.8000,11.9800
01/09/2017,0.31000000,4.41000000,6.35000000,0.2800,3.8100,4.8000,0.4100,6.2300,11.2800
01/10/2017,0.63000000,5.06000000,6.37000000,0.2500,4.0700,4.7700,1.7600,8.1000,11.4000
01/11/2017,1.03000000,6.15000000,6.63000000,0.3400,4.4300,4.9000,3.0600,11.4100,11.9700
01/12/2017,0.59000000,6.77000000,6.77000000,0.4200,4.8700,4.8700,1.0900,12.6200,12.6200
01/01/2018,0.53000000,0.53000000,5.55000000,0.2800,0.2800,4.5600,1.2400,1.2400,8.4400
01/02/2018,0.38000000,0.91000000,5.34000000,0.4900,0.7700,4.2700,0.0800,1.3200,8.4900
01/03/2018,0.32000000,1.24000000,5.04000000,0.3300,1.1100,4.0200,0.3000,1.6300,8.0300
01/04/2018,-0.34000000,0.90000000,4.55000000,0.1500,1.2500,3.7100,-1.7200,-0.1200,7.0700
01/05/2018,-0.16000000,0.73000000,4.51000000,0.2600,1.5100,3.6900,-1.3800,-1.5000,6.9900
01/06/2018,0.39000000,1.12000000,4.65000000,0.2300,1.7500,3.6200,0.8400,-0.6700,7.7900
01/07/2018,0.54000000,1.66000000,4.81000000,0.2900,2.0400,3.6300,1.2700,0.5900,8.3800
01/08/2018,0.58000000,2.26000000,4.90000000,0.2500,2.2900,3.6300,1.6100,2.2100,8.8000
01/09/2018,0.42000000,2.69000000,5.02000000,0.3200,2.6200,3.6700,0.7300,2.9600,9.1500
01/10/2018,0.52000000,3.22000000,4.90000000,0.3100,2.9400,3.7300,1.1500,4.1400,8.5000
01/11/2018,0.85000000,4.10000000,4.72000000,0.2500,3.2000,3.6300,2.6600,6.9100,8.0700
01/12/2018,0.70000000,4.83000000,4.83000000,0.4700,3.6800,3.6800,1.3900,8.4000,8.4000
01/01/2019,0.09000000,0.09000000,4.37000000,0.2000,0.2000,3.6000,-0.2500,-0.2500,6.8100
01/02/2019,-0.03000000,0.06000000,3.94000000,0.4300,0.6300,3.5400,-1.3800,-1.6200,5.2500
01/03/2019,0.39000000,0.44000000,4.00000000,0.3400,0.9800,3.5500,0.5100,-1.1200,5.4700
01/04/2019,0.05000000,0.50000000,4.41000000,0.4600,1.4400,3.8700,-1.1500,-2.2600,6.0800
01/05/2019,-0.29000000,0.21000000,4.28000000,0.1600,1.6000,3.7700,-1.6600,-3.8800,5.7800
01/06/2019,0.06000000,0.27000000,3.95000000,0.3000,1.9100,3.8500,-0.6800,-4.5300,4.1900
01/07/2019,0.38000000,0.65000000,3.78000000,0.2600,2.1800,3.8200,0.7400,-3.8200,3.6400
01/08/2019,-0.02000000,0.63000000,3.16000000,0.2000,2.3900,3.7800,-0.7000,-4.5000,1.2800
01/09/2019,0.26000000,0.89000000,3.00000000,0.3000,2.6900,3.7500,0.1500,-4.3500,0.7100
01/10/2019,0.54000000,1.44000000,3.02000000,0.2500,2.9400,3.6800,1.4600,-2.9500,1.0100
01/11/2019,0.81000000,2.26000000,2.97000000,0.2200,3.1700,3.6500,2.6200,-0.4100,0.9800
01/12/2019,0.56000000,2.83000000,2.83000000,0.4100,3.5900,3.5900,1.0000,0.5900,0.5900
01/01/2020,0.48000000,0.48000000,3.24000000,0.3300,0.3300,3.7300,0.9600,0.9600,1.8100
01/02/2020,0.42000000,0.90000000,3.70000000,0.3600,0.6900,3.6600,0.5700,1.5300,3.8100
01/03/2020,-0.05000000,0.85000000,3.25000000,0.2900,0.9900,3.6000,-1.0600,0.4500,2.1900
01/04/2020,-1.01000000,-0.17000000,2.15000000,0.3600,1.3500,3.5000,-5.1700,-4.7400,-1.9600
01/05/2020,0.38000000,0.22000000,2.84000000,0.3000,1.6500,3.6400,0.6600,-4.1000,0.3500
01/06/2020,0.55000000,0.76000000,3.33000000,0.3700,2.0300,3.7100,1.1200,-3.0300,2.1600
01/07/2020,0.66000000,1.43000000,3.62000000,0.4000,2.4300,3.8500,1.4800,-1.6000,2.9200
01/08/2020,0.39000000,1.82000000,4.05000000,0.3200,2.7500,3.9700,0.6300,-0.9700,4.3000
01/09/2020,0.23000000,2.06000000,4.01000000,0.3200,3.0800,3.9900,-0.0400,-1.0100,4.1000
01/10/2020,0.61000000,2.68000000,4.09000000,0.2400,3.3300,3.9800,1.7700,0.7400,4.4200
01/11/2020,0.08000000,2.76000000,3.33000000,-0.0800,3.2400,3.6600,0.5600,1.3100,2.3300
01/12/2020,0.38000000,3.15000000,3.15000000,0.5500,3.8000,3.8000,-0.1300,1.1800,1.1800
01/01/2021,0.86000000,0.86000000,3.54000000,0.3600,0.3600,3.8400,2.4000,2.4000,2.6300
01/02/2021,0.63000000,1.50000000,3.76000000,0.3900,0.7500,3.8700,1.3600,3.7900,3.4300
01/03/2021,0.83000000,2.34000000,4.67000000,0.5400,1.3000,4.1200,1.6900,5.5500,6.3100
01/04/2021,0.33000000,2.67000000,6.08000000,0.3700,1.6700,4.1300,0.2100,5.7600,12.3400
01/05/2021,0.20000000,2.88000000,5.89000000,0.5300,2.2000,4.3700,-0.7500,4.9700,10.7600
01/06/2021,0.53000000,3.43000000,5.88000000,0.5700,2.7900,4.5800,0.4200,5.4100,10.0000
01/07/2021,0.59000000,4.04000000,5.81000000,0.4800,3.2800,4.6600,0.9300,6.3900,9.3900
01/08/2021,0.19000000,4.24000000,5.59000000,0.4300,3.7200,4.7800,-0.5200,5.8400,8.1400
01/09/2021,0.62000000,4.88000000,6.00000000,0.4600,4.1900,4.9200,1.1000,7.0000,9.3700
01/10/2021,0.84000000,5.76000000,6.24000000,0.4900,4.7100,5.1900,1.8700,9.0000,9.4700
01/11/2021,1.14000000,6.97000000,7.37000000,0.3700,5.0900,5.6700,3.4500,12.7500,12.6100
01/12/2021,0.36000000,7.36000000,7.36000000,0.8000,5.9400,5.9400,-0.9000,11.7400,11.7400
01/01/2022,0.59000000,0.59000000,7.07000000,0.6200,0.6200,6.2100,0.5200,0.5200,9.6800
01/02/2022,0.83000000,1.43000000,7.28000000,0.7600,1.3800,6.5900,1.0400,1.5600,9.3400
01/03/2022,0.99000000,2.43000000,7.45000000,0.7200,2.1000,6.7800,1.7900,3.3900,9.4500
01/04/2022,0.54000000,2.98000000,7.68000000,0.7800,2.9000,7.2200,-0.1400,3.2400,9.0700
01/05/2022,0.18000000,3.17000000,7.65000000,0.5900,3.5000,7.2800,-1.0200,2.1800,8.7700
01/06/2022,0.84000000,4.04000000,7.99000000,0.7700,4.3000,7.4900,1.0700,3.2700,9.4700
01/07/2022,0.74000000,4.81000000,8.15000000,0.6200,4.9500,7.6500,1.0900,4.4000,9.6500
01/08/2022,0.70000000,5.54000000,8.70000000,0.8000,5.7900,8.0500,0.3900,4.8000,10.6500
01/09/2022,0.62000000,6.19000000,8.70000000,0.6700,6.5000,8.2800,0.4700,5.3000,9.9600
01/10/2022,0.57000000,6.79000000,8.41000000,0.6300,7.1700,8.4200,0.3800,5.7000,8.3600
01/11/2022,0.58000000,7.41000000,7.80000000,0.4500,7.6500,8.5100,0.9400,6.7000,5.7300
01/12/2022,0.38000000,7.82000000,7.82000000,0.6500,8.3500,8.3500,-0.4000,6.2700,6.2700
01/01/2023,0.68000000,0.68000000,7.91000000,0.7100,0.7100,8.4500,0.5700,0.5700,6.3200
01/02/2023,0.56000000,1.24000000,7.62000000,0.6100,1.3300,8.2900,0.4000,0.9700,5.6500
01/03/2023,0.27000000,1.51000000,6.85000000,0.5200,1.8600,8.0900,-0.5000,0.4700,3.2700
01/04/2023,-0.02000000,1.49000000,6.25000000,0.3900,2.2600,7.6700,-1.2500,-0.7900,2.1200
01/05/2023,-0.22000000,1.27000000,5.84000000,0.3200,2.5900,7.3900,-1.8800,-2.6600,1.2400
01/06/2023,0.10000000,1.37000000,5.06000000,0.3000,2.8900,6.8900,-0.5200,-3.1700,-0.3600
01/07/2023,0.48000000,1.86000000,4.79000000,0.3900,3.3000,6.6400,0.7700,-2.4200,-0.6700
01/08/2023,0.55000000,2.42000000,4.64000000,0.2700,3.5800,6.0800,1.4400,-1.0100,0.3700
01/09/2023,0.44000000,2.88000000,4.45000000,0.3600,3.9500,5.7600,0.7000,-0.3200,0.6000

